id,name,code,operator,network,mode,colour,ref:FR:STIF:ExternalCode_Line
Line:Relation:107352,Bus 33 : Les Noues RER (Circulaire),33,Les Courriers de l'Île-de-France,CIF,bus,#007AC2,014014033:33
Line:Relation:107354,Bus 11 : Victor Basch (Goussainville) ↔ Saint-Denis Porte de Paris,11,Keolis CIF,Les Courriers de l'Île-de-France,bus,#B456A1,014014011:11
Line:Relation:107356,"Bus 32 : Goussainville, Victor Basch - Roissypole",32,Keolis CIF,Les Courriers de l'Île-de-France,bus,#B2CE40,014014032:32
Line:Relation:109875,Ligne de Paris à Marseille,830 000,SNCF Réseau,,train,,
Line:Relation:122886,Train RER C,C,SNCF,RER,train,#FCD946,800:C
Line:Relation:225665,Bus 170 : Saint-Denis RER ↔ Porte des Lilas,170,RATP,RATP,bus,#87d3df,100100170:170
Line:Relation:225800,PC3 - Bus 99 : Porte Maillot - Pershing ↔ Porte de la Chapelle,PC3,RATP,RATP,bus,#ED1B2A,100100099:PC3
Line:Relation:225801,Bus 115: Château de Vincennes ↔ Porte des Lilas,115,RATP,RATP,bus,#008B5A,100100115:115
Line:Relation:226276,Bus 96 : Gare Montparnasse ↔ Porte des Lilas,96,RATP,RATP,bus,#DFB03A,100100096:96
Line:Relation:255442,Bus 61 : Gare d'Austerlitz ↔ Pantin — Église de Pantin,61,RATP,RATP,bus,#008C5A,100100061:61
Line:Relation:332709,Bus 147 : Église de Pantin ↔ Sevran – Avenue Ronsard,147,RATP,RATP,bus,#F50024,100100147:147
Line:Relation:387064,Bus 86 : Saint-Germain-des-Prés ↔ Saint-Mandé — Demi-Lune - Parc Zoologique,86,RATP,RATP,bus,#ED1B2A,100100086:86
Line:Relation:611648,Bus 157 : Nanterre - Boulevard de la Seine ↔ Pont de Neuilly,157,RATP,RATP,bus,#B34A9B,100100157:157
Line:Relation:901462,Bus 160 : Pont de Sèvres ↔ Nanterre–Préfecture RER,160,RATP,RATP,bus,#008C5A,100100160:160
Line:Relation:937390,Bus 74 : Clichy-la-Garenne – Berges de Seine ↔ Hôtel de Ville,74,RATP,RATP,bus,#CEC92A,100100074:74
Line:Relation:949582,Bus 177 : Asnières-Gennevilliers - Gabriel Péri ↔ Villeneuve-La-Garenne - ZI,177,RATP,RATP,bus,#85E271,100100177:177
