id,lat,lon,name,ref:FR:STIF,FIXME,source:position
StopPoint:Node:17924573,48.8201828,2.4739806,Verdun,,,
StopPoint:Node:29414560,48.8489454,2.2753957,Degas,,,opendata.paris.fr - 04/2011
StopPoint:Node:29441475,48.8629739,2.2954966,Musée d'Art Moderne – Palais de Tokyo,,,opendata.paris.fr - 04/2011
StopPoint:Node:95617756,48.6394339,2.2097944,ZI Fonds des Prés,3205,,
StopPoint:Node:125272923,48.8295614,2.3220688,Les Plantes,,,opendata.paris.fr - 04/2011
StopPoint:Node:125273053,48.8290722,2.3230781,Les Plantes,,,opendata.paris.fr - 04/2011
StopPoint:Node:155358159,48.7986279,2.0678914,La Poste,,,
StopPoint:Node:155358165,48.7992442,2.0699354,République,,,
StopPoint:Node:156492856,48.7999344,2.0664718,Mairie,,,
StopPoint:Node:161395278,48.7964279,2.1358174,Gare des Chantiers,,,
StopPoint:Node:165749271,48.8994863,2.2219022,Lens,,,
StopPoint:Node:165749274,48.8993253,2.222085,Lens,,,
StopPoint:Node:165749279,48.9011374,2.2247833,Arras,,,
StopPoint:Node:165767823,48.9027553,2.2276931,Veuve Lacroix,,,
StopPoint:Node:165767826,48.9032153,2.2290892,Veuve Lacroix,,,
StopPoint:Node:180968659,48.8939723,2.2127091,Joliot Curie - Courbevoie,,,
StopPoint:Node:180968671,48.8924881,2.209622,Palais des Sports,,,
StopPoint:Node:180968679,48.8910506,2.2071065,Mairie de Nanterre,,,
StopPoint:Node:180977991,48.8899382,2.205092,Sadi Carnot Joliot Curie,,,
StopPoint:Node:180978040,48.8890281,2.2029065,Sadi Carnot - Joliot Curie,,,
StopPoint:Node:181288957,48.8890638,2.2042967,Sadi Carnot - Juliot Curie,,,
StopPoint:Node:181288958,48.8899902,2.2057116,Sadi Carnot Joliot Curie,,,
StopPoint:Node:181288960,48.890728,2.2068853,Mairie de Nanterre,,,
StopPoint:Node:181288961,48.8894763,2.2105293,Le Chat Perché,,,
StopPoint:Node:181288962,48.8895767,2.21052,Le Chat Perché,,,
StopPoint:Node:181783077,48.8902242,2.2190781,Fernand Léger,,,
StopPoint:Node:181866765,48.8928597,2.2134082,Théâtre des Amandiers,,,
StopPoint:Node:181866769,48.8932391,2.2125698,Joliot Curie Courbevoie,,,
StopPoint:Node:181877185,48.8913621,2.21501,Liberté,,,
StopPoint:Node:181877189,48.8913157,2.2152463,Liberté,,,
StopPoint:Node:197845539,48.9475978,2.4916965,Croix Rouge,,,
StopPoint:Node:197853659,48.9442113,2.4968953,,,,
StopPoint:Node:198767925,48.8077138,2.1829096,Komitas,,,
StopPoint:Node:198781533,48.8098508,2.1796391,Alby,,,
StopPoint:Node:201546870,48.8003965,2.0754474,Gare de Saint-Cyr,,,
StopPoint:Node:201546878,48.7996207,2.0752044,Gare de Saint-Cyr l'École,,,
StopPoint:Node:201705416,48.8134514,2.0780964,Guy Môquet (Transdev),,,
StopPoint:Node:201705421,48.8127792,2.0779797,Santos Dumont,,,
StopPoint:Node:202435746,48.8029869,2.0724642,Docteur Vaillant,,,
StopPoint:Node:202435753,48.8028829,2.0722117,Docteur Vaillant,,,
StopPoint:Node:202446874,48.8051449,2.0739531,Aérodrome,,,
StopPoint:Node:202449462,48.8053138,2.0742129,Aérodrome,,,
StopPoint:Node:202480274,48.8128052,2.0780967,Santos Dumont,,,
StopPoint:Node:202480278,48.812796,2.0780953,Guy Môquet (Transdev),,,
StopPoint:Node:202488356,48.8175196,2.0798809,Ferme de Gally,,,
StopPoint:Node:202488364,48.8181233,2.0803927,Ferme de Gally,,,
StopPoint:Node:202488368,48.8156899,2.0776128,Rû de Gally,,,
StopPoint:Node:202509784,48.800239,2.0729791,Division Leclerc,,,
StopPoint:Node:206336006,48.8029897,2.0555618,Maison de l'Enfance,,,
StopPoint:Node:207448001,48.7961502,2.0485711,Saint-Exupéry,,,
StopPoint:Node:207448007,48.7961304,2.0480203,Saint-Exupéry,,,
StopPoint:Node:215485634,48.8161591,2.1944415,Guilleminot,,,
StopPoint:Node:233174602,48.8099881,2.1487389,Université,,,
StopPoint:Node:233309865,48.8419935,2.2224,Parc de Saint-Cloud,,,
StopPoint:Node:240303229,48.7975597,2.059383,Les Deux Ponts,,,
StopPoint:Node:240303233,48.7976529,2.0591609,Les Deux Ponts,,,
StopPoint:Node:240314612,48.7958292,2.0598063,Les Cottages,,,
StopPoint:Node:240317179,48.7951191,2.0647352,Henri Barbusse,,,
StopPoint:Node:240317184,48.7952712,2.0645442,Henri Barbusse,,,
StopPoint:Node:240327118,48.7927144,2.0668881,Bois Robert,,,
StopPoint:Node:240327127,48.7927762,2.0669116,Bois Robert,,,
StopPoint:Node:240342510,48.7927496,2.0713332,Rue du Plateau,,,
StopPoint:Node:240342514,48.7921202,2.0707491,Francisco Ferrer,,,
StopPoint:Node:240342515,48.7920746,2.0706596,Francisco Ferrer,,,
StopPoint:Node:240346317,48.7946939,2.0719704,Henry Wallon,,,
StopPoint:Node:240346555,48.7972878,2.0729763,Paul Vaillant Couturier,,,
StopPoint:Node:240349149,48.7945309,2.0672585,Union,,,
StopPoint:Node:241781924,48.8887193,2.2223637,Les Fontenelles,,,
StopPoint:Node:241781925,48.8886051,2.2224838,Les Fontenelles,,,
StopPoint:Node:241932331,48.7798801,2.0379354,,,,
StopPoint:Node:243204117,48.732615,2.1045387,,,,
StopPoint:Node:243456639,48.8008219,2.1203682,Grille de l'Orangerie,4258,,
StopPoint:Node:243456642,48.8024294,2.1145574,Stand de Tir,,,
StopPoint:Node:243457617,48.8024958,2.0950285,Ménagerie,,,
StopPoint:Node:243457618,48.8018509,2.088437,INRA,,,
StopPoint:Node:243457619,48.8018391,2.0858237,INRA,,,
StopPoint:Node:243457622,48.8025749,2.0942363,Ménagerie,,,
StopPoint:Node:247374088,48.7011044,2.1248804,,,,
StopPoint:Node:248217382,48.5966453,2.479635,,,,
StopPoint:Node:248220706,48.4818561,2.3480873,Hôtel de Ville,,,
StopPoint:Node:248551863,48.5658508,2.4414721,Stade de Mennecy,,,
StopPoint:Node:248876507,48.7981267,2.3549965,Place du 8 Mai 1945,,,
StopPoint:Node:249244071,48.6108292,2.4530524,8 Mai 1945,,,
StopPoint:Node:251008781,48.7389855,2.3785044,Bâtiment 250,,,
StopPoint:Node:252606599,48.8994446,2.5004317,Albert Thomas,,,
StopPoint:Node:252748072,49.0324066,2.4773021,Les Noues RER,,,
StopPoint:Node:252748073,49.0321414,2.4767905,Les Noues RER,,,
StopPoint:Node:252750230,49.0327219,2.4821467,École Jean Jaurès,,,
StopPoint:Node:252750231,49.0325483,2.4824066,École Jean Jaurès,,,
StopPoint:Node:252750232,49.0300811,2.4844114,Rue Sieyes,,,
StopPoint:Node:252750233,49.0299841,2.4845664,Rue Sieyes,,,
StopPoint:Node:252750234,49.028335,2.483566,Rue Rolland,,,
StopPoint:Node:252750235,49.0282102,2.4837421,Rue Rolland,,,
StopPoint:Node:252750236,49.028261,2.4815792,Les Côteaux,,,
StopPoint:Node:252750237,49.0281409,2.4814171,Les Côteaux,,,
StopPoint:Node:252750239,49.0266442,2.4732585,École Pasteur,,,
StopPoint:Node:252750242,49.0302244,2.4742371,Victor Basch,419600,,
StopPoint:Node:252750243,49.0304336,2.4796158,Les Côteaux,,,
StopPoint:Node:252750244,49.028645,2.4795773,Rouget de L'Isle,,,
StopPoint:Node:252857708,49.0323506,2.4595541,Avenue des Tilleuls,,,
StopPoint:Node:252857709,49.0335972,2.463671,La Ruche,,,
StopPoint:Node:252857710,49.0358346,2.4703276,Les Montagnettes,38660,,
StopPoint:Node:252857711,49.0358974,2.4700402,Les Montagnettes,38661,,
StopPoint:Node:252857713,49.0342406,2.4720256,La Charmeuse,419734,,
StopPoint:Node:252857714,49.0340706,2.4720353,La Charmeuse,419733,,
StopPoint:Node:252857717,49.0320821,2.4740276,Mairie,38578,,
StopPoint:Node:252857718,49.0320667,2.4741677,Mairie,38577,,
StopPoint:Node:253912169,48.5851833,2.4466917,Centre Commercial,,,
StopPoint:Node:254294401,48.9015492,2.4882427,Pierre Brossolette,,,
StopPoint:Node:256324752,48.8423298,2.3028026,Cambronne - Lecourbe,24023,,opendata.paris.fr - 04/2011
StopPoint:Node:256324811,48.8407876,2.3040494,Cambronne - Vaugirard,,,opendata.paris.fr - 04/2011
StopPoint:Node:257762926,48.9394283,2.0368504,Pont Neuf,,,
StopPoint:Node:259282760,48.8451549,2.3019755,Miollis,,,opendata.paris.fr - 04/2011
StopPoint:Node:259282789,48.8471891,2.3015558,Cambronne,,,opendata.paris.fr - 04/2011
StopPoint:Node:259282878,48.8429709,2.3024401,Cambronne - Lecourbe,24264,,opendata.paris.fr - 04/2011
StopPoint:Node:259288775,48.8285463,2.2733712,Frères Voisin,,,opendata.paris.fr - 04/2011
StopPoint:Node:259442664,48.8424752,2.3019568,Cambronne - Lecourbe,,,opendata.paris.fr - 04/2011
StopPoint:Node:259442692,48.8418283,2.2998841,Mairie du 15e,,,
StopPoint:Node:259856696,48.8439072,2.3068528,Volontaires - Lecourbe,,,opendata.paris.fr - 04/2011
StopPoint:Node:259856729,48.844662,2.3093235,Sèvres - Lecourbe,37357,,opendata.paris.fr - 04/2011
StopPoint:Node:259856862,48.8465947,2.316023,Hôpital des Enfants Malades,,,opendata.paris.fr - 04/2011
StopPoint:Node:260016759,48.8404472,2.3046245,Cambronne - Vaugirard,22326,,opendata.paris.fr - 04/2011
StopPoint:Node:260016791,48.8416066,2.3084716,Volontaires - Vaugirard,37562,,opendata.paris.fr - 04/2011
StopPoint:Node:260016819,48.8430483,2.313091,Pasteur–Lycée Buffon,28676,,
StopPoint:Node:260016832,48.8432489,2.312666,Pasteur - Lycée Buffon,,,opendata.paris.fr - 04/2011
StopPoint:Node:260016906,48.8407276,2.3213414,Gare Montparnasse,37359,,opendata.paris.fr - 04/2011
StopPoint:Node:260017423,48.8448483,2.3247237,Rennes - Littré,22640,,opendata.paris.fr - 04/2011
StopPoint:Node:260382054,48.8521941,2.330686,Michel Debré,,,
StopPoint:Node:260382056,48.8516434,2.3277444,Sèvres - Babylone,28568,,opendata.paris.fr - 04/2011
StopPoint:Node:260382063,48.8517487,2.3307914,Michel Debré,,,
StopPoint:Node:260720693,48.7692053,2.1290732,Louis Blériot,,,
StopPoint:Node:260720695,48.7691442,2.1291313,Louis Blériot,,,
StopPoint:Node:260743996,48.8453835,2.368688,Pont d'Austerlitz - Quai de la Rapée,,,opendata.paris.fr - 04/2011
StopPoint:Node:260743999,48.8453126,2.3695255,Pont d'Austerlitz - Quai de la Rapée,36168,,opendata.paris.fr - 04/2011
StopPoint:Node:260744090,48.8456772,2.3714536,Gare de Lyon - Diderot,22494,,
StopPoint:Node:260744181,48.8446991,2.3642693,Gare d'Austerlitz,,,opendata.paris.fr - 04/2011
StopPoint:Node:260744184,48.8460901,2.3720874,Gare de Lyon - Diderot,,,opendata.paris.fr - 04/2011
StopPoint:Node:261570338,48.8522029,2.3264371,Sèvres - Babylone,,,opendata.paris.fr - 04/2011
StopPoint:Node:262239988,48.8424229,2.2989616,Mairie du XV,39324,,
StopPoint:Node:262241541,48.8513135,2.3334382,Église Saint-Sulpice,,,opendata.paris.fr - 04/2011
StopPoint:Node:262241577,48.8517725,2.3274517,Sèvres - Babylone,,,opendata.paris.fr - 04/2011
StopPoint:Node:262278014,48.8614952,2.3146148,Invalides,,,
StopPoint:Node:262279588,48.8598983,2.314402,Esplanade des Invalides,26311,,opendata.paris.fr - 04/2011
StopPoint:Node:262281221,48.8627959,2.3145027,Invalides,,,opendata.paris.fr - 04/2011
StopPoint:Node:265072941,48.9336227,2.209623,Albert 1er,,,
StopPoint:Node:265072963,48.9345466,2.2089125,Albert 1er,,,
StopPoint:Node:265073037,48.933027,2.2064874,Albert 1er,7578,,
StopPoint:Node:265073041,48.9331533,2.2050933,Joliot-Curie,7583,,
StopPoint:Node:267314163,48.8514038,2.3013568,Joffre-Suffren,,,opendata.paris.fr - 04/2011
StopPoint:Node:267314165,48.8508889,2.3003799,Joffre-Suffren,,,opendata.paris.fr - 04/2011
StopPoint:Node:267314166,48.851552,2.3004186,Joffre-Suffren,,,opendata.paris.fr - 04/2011
StopPoint:Node:268122348,48.7649152,2.6651691,Campus Ouest,,,
StopPoint:Node:269341527,48.7843783,2.1324879,Sente du Haras,,,
StopPoint:Node:269341528,48.784372,2.132616,Sente du Haras,,,
StopPoint:Node:269342386,48.7814007,2.1319014,Genévrière,,,
StopPoint:Node:269342388,48.780998,2.1315398,Genévrière,,,
StopPoint:Node:269342523,48.7762103,2.1299257,Buc Ville,,,
StopPoint:Node:269342524,48.7761267,2.1301888,Buc Ville,,,
StopPoint:Node:269422476,48.5953741,2.3690893,Parc de Tréville,,,
StopPoint:Node:269976000,48.6489901,2.3750066,,,,
StopPoint:Node:270241571,48.8069448,2.1309094,Place du Marché,,,
StopPoint:Node:270241876,48.8069307,2.1305933,Place du Marché,,,
StopPoint:Node:270284498,48.7670621,2.159123,Sainte-Suzanne,,,
StopPoint:Node:270284500,48.765149,2.16363,Gare de Jouy en Josas,,,
StopPoint:Node:270284503,48.7652289,2.1637193,Gare de Jouy en Josas,,,
StopPoint:Node:270880681,48.786939,2.1331419,Cerf-Volant,,,
StopPoint:Node:270880682,48.7860515,2.1327325,Cerf-Volant,,,
StopPoint:Node:271027281,48.5213749,2.3003825,,,,
StopPoint:Node:271027282,48.5195672,2.3021327,,,,
StopPoint:Node:271037140,48.5156944,2.2993039,,,,
StopPoint:Node:271433096,48.614751,2.4253116,Petite Montagne,,,
StopPoint:Node:273412963,48.7979566,2.4646352,Hôpital Intercommunal,,,
StopPoint:Node:275186043,48.9550505,2.3081429,Avenue du 18 Juin 1940,,,
StopPoint:Node:275292187,48.3462763,2.1532225,,,,
StopPoint:Node:275347714,48.8641968,2.1801815,Lycée de Rueil,,,
StopPoint:Node:275348082,48.8618037,2.1843941,Otis Mygatt,,,
StopPoint:Node:275348409,48.8603649,2.1779029,Piscine de Buzenval,,,
StopPoint:Node:275348570,48.8622582,2.171384,Saint-Cucufa,,,
StopPoint:Node:275348608,48.8631123,2.1714722,Saint-Cucufa,,,
StopPoint:Node:275348704,48.8594794,2.1824577,Collège Passy-Buzenval,,,
StopPoint:Node:275348785,48.8602622,2.1779771,Piscine de Buzenval,,,
StopPoint:Node:275348848,48.8645525,2.1799498,Lycée de Rueil,,,
StopPoint:Node:276279681,49.0146321,3.0329795,Lotissement de Condé,,,
StopPoint:Node:276279682,49.0178722,3.0253447,Port Courage - Coquelicots,,,
StopPoint:Node:276280011,49.0173832,3.0297291,,,,
StopPoint:Node:276280012,49.0157914,3.0269902,,,,
StopPoint:Node:276280013,49.019332,3.0299813,,,,
StopPoint:Node:280848106,48.8308078,2.3185643,Alésia - Didot,,,opendata.paris.fr - 04/2011
